municipio,alpha,intercept_std,coef_y_lag1_std,coef_valor_agropecuaria_std,coef_pib_per_capita_std,coef_valor_industria_std,coef_valor_administracao_publica_std
Aquidauana,0.1,2868.1080281768677,127.51582429742326,23.42606366818382,30.604438340745553,-12.546299227935327,53.39919745934579
Barão de Melgaço,0.3,1085.7641470200515,52.01427044389136,-7.232994714443656,9.59336001665042,29.07625880946771,15.042739895658762
Corumbá,0.3,5863.7254582626465,343.1048830304531,38.46306289020575,-47.96503317121569,1.3084134968222227,238.74604430498346
Coxim,1.0,1027.1642133875062,8.931123740830648,0.07048981992105363,4.028014650635057,0.08078661345048618,9.572498969058337
Cáceres,0.1,3355.354109759393,39.80551516176545,-3.5430075401172765,8.294312767597386,7.426502825270412,49.18177451948222
Itiquira,1.0,299.689130207435,18.6142124802072,-1.4126428547103596,0.9752863088429571,8.901056431169376,14.78125236211788
Ladário,1.0,119.7039778813395,0.603635948884076,0.11879382126096223,0.03741327471465079,0.053761553176667996,0.5586017523019676
Miranda,0.1,210.42897430402013,3.6090881781528146,0.3284558222247406,2.8622271827741126,-0.5466335096775312,0.46357934394050004
Nossa Senhora do Livramento,0.1,271.72446822679586,12.751782551818744,-3.231536866367616,22.828640243168014,-6.092324850242479,9.7571025884735
Poconé,0.1,1094.0616990238361,52.59985023388795,0.050421008662170703,15.637365085308975,3.81205745865757,15.4488495396837
Porto Esperidião,10.0,538.4957377938209,3.1491885159933806,1.1504592581234354,2.8136952871995633,2.035884407861176,3.0144110321499236
Porto Murtinho,0.1,3484.4250179240307,35.73108726566347,1.725129245076911,12.56569537400518,-10.389234423525064,33.99235301200133
Rio Verde de Mato Grosso,0.1,2589.247899257075,47.5775957442801,13.081419716074475,24.882364004253315,-0.9453379476870297,44.32740684987695
Santo Antônio do Leverger,0.1,2083.736246591237,61.09046783816161,-21.60823940412712,38.56339969309151,0.5606549666406889,41.41247019725159
Sonora,10.0,493.84827338158277,4.279860295053132,1.5110454669676168,2.586129424939574,3.170920971258725,3.8748891899189437
