municipio,variavel,coeficiente,std_err,p_value,beta_padronizado,r2,r2_ajustado,n,intercepto
Aquidauana,pib_per_capita,-0.02724532395410173,0.03935966966128602,0.5111043264418224,-0.3963317585212663,0.9943481090046575,0.9911184570073189,12,1752.1456795845422
Aquidauana,valor_administracao_publica,0.005225458445656063,0.001871384941349435,0.02681967751793049,1.1546520679351302,0.9943481090046575,0.9911184570073189,12,1752.1456795845422
Aquidauana,valor_agropecuaria,0.0034478397089357377,0.0017861198069506774,0.09487316988405935,0.41590013777823065,0.9943481090046575,0.9911184570073189,12,1752.1456795845422
Aquidauana,valor_industria,-0.0016482379005282322,0.0013378613942453728,0.2577259013002197,-0.092600002651754,0.9943481090046575,0.9911184570073189,12,1752.1456795845422
Barão de Melgaço,pib_per_capita,-0.023592406352587747,0.014479368442277443,0.14725540846202373,-0.45319820506181124,0.9860504515047394,0.978079280936019,12,789.1916333305164
Barão de Melgaço,valor_administracao_publica,0.009660371392504665,0.0025765369426529227,0.007174144505283499,0.9696249678279487,0.9860504515047394,0.978079280936019,12,789.1916333305164
Barão de Melgaço,valor_agropecuaria,0.0029449846823895835,0.0022306964863181306,0.22829532534907324,0.167318702887601,0.9860504515047394,0.978079280936019,12,789.1916333305164
Barão de Melgaço,valor_industria,0.05294835219820743,0.020071899906140476,0.033523919767100445,0.36844347485959117,0.9860504515047394,0.978079280936019,12,789.1916333305164
Corumbá,pib_per_capita,-0.09213382926870584,0.03604067536319748,0.0377502140757246,-0.47616816514451077,0.9884766569513019,0.981891889494903,12,3650.123231127454
Corumbá,valor_administracao_publica,0.004909512479270042,0.0005970602157909674,7.645327970497922e-05,1.0901354680033637,0.9884766569513019,0.981891889494903,12,3650.123231127454
Corumbá,valor_agropecuaria,0.0023581304041219026,0.0008550339629293467,0.02817961691443704,0.3220383019348243,0.9884766569513019,0.981891889494903,12,3650.123231127454
Corumbá,valor_industria,0.0011997948752715606,0.0004451532363291996,0.030850814946546123,0.29262489706016054,0.9884766569513019,0.981891889494903,12,3650.123231127454
Coxim,pib_per_capita,0.0010338497706010447,0.001760281376703727,0.5754347291112565,0.1756534115095926,0.989213469935985,0.9830497384708337,12,904.6855829659082
Coxim,valor_administracao_publica,0.0005935130727884701,0.0001240081121635291,0.0019981663963081152,0.9238932514213679,0.989213469935985,0.9830497384708337,12,904.6855829659082
Coxim,valor_agropecuaria,-8.382109291524276e-05,0.0001176520073245324,0.49923872010979,-0.12844674655425437,0.989213469935985,0.9830497384708337,12,904.6855829659082
Coxim,valor_industria,0.00011617895481153342,0.00010419680220494543,0.3016633769026246,0.05198446635179671,0.989213469935985,0.9830497384708337,12,904.6855829659082
Cáceres,pib_per_capita,-0.0032250751318770865,0.00697633562190876,0.6579001886014,-0.1128975898212963,0.9951159896977985,0.992325126667969,12,2947.5384069309903
Cáceres,valor_administracao_publica,0.0010362480702322714,0.0002435390217401192,0.0037699819641200515,1.0708763993264745,0.9951159896977985,0.992325126667969,12,2947.5384069309903
Cáceres,valor_agropecuaria,-9.548047432389808e-05,0.00011524605269931312,0.4347268620040845,-0.03925542683816158,0.9951159896977985,0.992325126667969,12,2947.5384069309903
Cáceres,valor_industria,0.0002265856072130243,0.0001883513771798401,0.26808290877484203,0.07617156582361286,0.9951159896977985,0.992325126667969,12,2947.5384069309903
Itiquira,pib_per_capita,-0.00021987880348735105,0.0005963863725909908,0.7232604540023866,-0.11487152117848487,0.9674876985260233,0.9489092405408939,12,159.24478823206312
Itiquira,valor_administracao_publica,0.0015276545570911747,0.0003696426261730028,0.004388628571538408,0.7938677254624079,0.9674876985260233,0.9489092405408939,12,159.24478823206312
Itiquira,valor_agropecuaria,-2.7618517438963156e-06,5.018175622475753e-05,0.9576469096853364,-0.014962692304376383,0.9674876985260233,0.9489092405408939,12,159.24478823206312
Itiquira,valor_industria,0.00014451226808588125,8.659502167594092e-05,0.1390829070101843,0.3059048124465454,0.9674876985260233,0.9489092405408939,12,159.24478823206312
Ladário,pib_per_capita,-9.347831338272702e-05,9.327379088613909e-05,0.3496280677602799,-0.1768404552185264,0.9692544066144139,0.9516854961083646,12,115.1560872057903
Ladário,valor_administracao_publica,5.058458576944673e-05,8.677250557759397e-06,0.0006438381714359885,1.1413342843445224,0.9692544066144139,0.9516854961083646,12,115.1560872057903
