real,predito
217.0,220.19800000000035
31.6,31.538999999999945
3624.1,3550.095999999998
5.9,5.5159999999999965
965.6,994.2080000000004
1246.5,1203.6689999999996
1037.6,1052.5119999999995
1.2,1.200000000000002
3110.3,3066.9489999999996
5.9,5.797999999999994
1.2,1.200000000000002
257.6,281.2189999999997
5.9,5.791999999999991
3457.8,3440.9499999999966
314.0,320.45500000000004
984.0,990.5850000000008
31.6,31.538999999999945
31.6,31.47799999999995
216.5,220.02100000000027
564.0,542.325
2905.2,2875.8890000000015
5889.8,5768.764999999998
4784.1,5284.829000000005
1059.3,1044.639999999999
1.2,1.200000000000002
491.2,504.3449999999996
4.9,4.8999999999999915
25.5,25.5
2.7,2.5049999999999955
1152.8,1142.956999999999
1.2,1.200000000000002
3335.2,3353.844000000003
2.7,2.699999999999995
520.1,511.2769999999997
4.9,4.900999999999992
7.0,7.0
536.1,525.6600000000002
1065.8,1060.488999999999
6581.0,6241.446000000001
2.7,2.699999999999995
3408.1,3412.3729999999964
5.0,5.008
938.8,1055.5149999999999
3227.1,3312.1739999999995
1253.5,1205.6340000000005
25.5,25.561
25.5,25.5
963.3,1002.7159999999992
5050.7,5339.820000000004
7.0,7.0
228.3,232.47699999999983
4.9,4.8999999999999915
2593.9,2602.906000000002
