municipio,variavel,slope,intercept,r2,p_value,std_err,n,delta_y_por_1000ha
Aquidauana,valor_industria,50.03885288590625,-73564.23474815946,0.7932909225214957,0.0001021282540449294,8.077386740999925,12,50038.85288590625
Barão de Melgaço,valor_industria,6.754702762077226,-5442.624775434538,0.942270608101236,1.6173477461882545e-07,0.5287092540434316,12,6754.702762077226
Corumbá,valor_industria,-2.603270588137846,568213.6307011896,0.00011392789699282702,0.9737366781863306,77.1222214835056,12,-2603.270588137846
Coxim,valor_industria,160.46410676372363,-97429.0444632484,0.12860668855299529,0.25232714895841424,132.08491955667506,12,160464.10676372363
Cáceres,valor_industria,303.72757454791196,-891126.5568499683,0.8162953401378387,5.5966730961264565e-05,45.56387479401553,12,303727.57454791194
Itiquira,valor_industria,1992.5688764758122,-349413.1054828819,0.8860607537098677,4.9679958115108175e-06,225.953078723704,12,1992568.8764758122
Ladário,valor_industria,1516.6096479319338,-160907.92343198427,0.2818615460344214,0.07572969539515272,765.5260798148081,12,1516609.6479319336
Miranda,valor_industria,917.0454196037149,-164354.32220710692,0.5593581912006143,0.005156404807612042,257.38823724037906,12,917045.4196037148
Nossa Senhora do Livramento,valor_industria,747.5630199860675,-169112.1603422062,0.7355180696848203,0.0003609954459453918,141.75850989801305,12,747563.0199860675
Poconé,valor_industria,102.61388979332358,-75205.13800318219,0.808357777938616,6.942295300106397e-05,15.79973995169886,12,102613.88979332359
Porto Esperidião,valor_industria,477.6611334834841,-237147.7605733725,0.4624988214844412,0.014954464216853747,162.8374527261288,12,477661.1334834841
Porto Murtinho,valor_industria,-20.790247611865805,86816.37732986826,0.21363162743942254,0.1303217251892416,12.613624737590976,12,-20790.247611865805
Rio Verde de Mato Grosso,valor_industria,44.91082812859875,-90123.94480034878,0.7377811775338187,0.0003453891728616026,8.466798205094701,12,44910.828128598754
Santo Antônio do Leverger,valor_industria,80.87061446940356,-138699.56632728118,0.8093959880297049,6.752766839274803e-05,12.410127349943046,12,80870.61446940356
Sonora,valor_industria,1440.5782754226675,-617250.0124410368,0.8448240247614474,2.3735168692011527e-05,195.23873048442326,12,1440578.2754226676
