real,predito
217.0,220.56800000000032
31.6,31.355999999999945
3624.1,3569.077999999998
5.9,10.170999999999992
965.6,992.5090000000009
1246.5,1195.011999999999
1037.6,1048.8599999999994
1.2,2.1779999999999986
3110.3,3069.97
5.9,5.809999999999992
1.2,1.215000000000002
257.6,277.7849999999998
5.9,5.803999999999991
3457.8,3425.336999999997
314.0,312.675
984.0,987.1730000000016
31.6,31.355999999999945
31.6,31.294999999999945
216.5,220.21100000000033
564.0,536.3369999999999
2905.2,2870.578000000001
5889.8,5737.409999999999
4784.1,4384.182000000004
1059.3,1044.7609999999988
1.2,1.215000000000002
491.2,504.0229999999998
4.9,4.904999999999992
25.5,25.561
2.7,2.8679999999999963
1152.8,1109.072999999999
1.2,1.215000000000002
3335.2,3344.353000000003
2.7,2.669999999999995
520.1,513.8439999999996
4.9,4.877999999999991
7.0,7.0
536.1,524.8710000000003
1065.8,1059.4209999999987
6581.0,6111.915
2.7,2.6849999999999947
3408.1,3403.8549999999964
5.0,5.006
938.8,1030.269
3227.1,3301.961
1253.5,1198.8489999999995
25.5,25.744
25.5,25.561
963.3,1003.173999999999
5050.7,5396.324000000002
7.0,7.0
228.3,232.46399999999986
4.9,4.904999999999992
2593.9,2613.9880000000026
